date,min,max,normal_min,normal_max
19480906,105.0,61.0,97.7,74.9
19480907,104.0,60.0,97.4,74.5
19480908,103.0,64.0,97.1,74.2
19480909,106.0,62.0,96.7,73.8
19480910,106.0,61.0,96.4,73.5
19480911,107.0,62.0,96.0,73.1
19480912,108.0,66.0,95.7,72.7
19480913,109.0,62.0,95.3,72.3
19480914,106.0,62.0,94.9,71.9
19480915,103.0,68.0,94.5,71.5
19480916,90.0,72.0,94.1,71.1
19480917,92.0,70.0,93.7,70.7
19480918,92.0,64.0,93.3,70.3
19480919,90.0,56.0,92.8,69.9
19480920,94.0,57.0,92.4,69.4
19480921,96.0,54.0,92.0,69.0
19480922,92.0,61.0,91.5,68.6
19480923,93.0,56.0,91.1,68.1
19480924,84.0,63.0,90.6,67.7
19480925,72.0,50.0,90.1,67.2
19480926,81.0,45.0,89.7,66.8
19480927,90.0,43.0,89.2,66.3
19480928,94.0,52.0,88.8,65.9
19480929,95.0,52.0,88.3,65.5
19480930,94.0,63.0,87.8,65.0
19481001,95.0,58.0,87.4,64.6
19481002,97.0,56.0,86.9,64.1
19481003,96.0,59.0,86.4,63.7
19481004,90.0,66.0,86.0,63.3
19481005,90.0,56.0,85.5,62.9
19481006,83.0,61.0,85.1,62.4
19481007,88.0,49.0,84.6,62.0
19481008,93.0,52.0,84.1,61.6
19481009,94.0,50.0,83.7,61.2
19481010,92.0,48.0,83.2,60.8
19481011,88.0,49.0,82.8,60.4
19481012,87.0,51.0,82.3,60.0
19481013,89.0,60.0,81.9,59.6
19481014,82.0,56.0,81.5,59.2
19481015,83.0,52.0,81.0,58.8
19481016,86.0,49.0,80.6,58.4
19481017,83.0,58.0,80.1,58.0
19481018,75.0,48.0,79.7,57.6
19481019,78.0,41.0,79.3,57.3
19481020,85.0,46.0,78.8,56.9
19481021,89.0,43.0,78.4,56.5
19481022,88.0,44.0,77.9,56.1
19481023,86.0,47.0,77.5,55.8
19481024,86.0,45.0,77.1,55.4
19481025,86.0,45.0,76.6,55.0
19481026,82.0,47.0,76.2,54.6
19481027,80.0,42.0,75.7,54.2
19481028,69.0,44.0,75.3,53.9
19481029,70.0,38.0,74.8,53.5
19481030,60.0,47.0,74.3,53.1
19481031,75.0,39.0,73.9,52.7
19481101,75.0,40.0,73.4,52.3
19481102,77.0,48.0,72.9,51.9
19481103,78.0,49.0,72.5,51.5
19481104,64.0,46.0,72.0,51.1
19481105,66.0,32.0,71.5,50.7
19481106,71.0,30.0,71.0,50.3
19481107,70.0,38.0,70.5,49.9
19481108,58.0,39.0,70.0,49.5
19481109,64.0,27.0,69.5,49.1
19481110,64.0,27.0,69.0,48.7
19481111,65.0,40.0,68.5,48.3
19481112,67.0,33.0,68.0,47.8
19481113,74.0,32.0,67.5,47.4
19481114,75.0,33.0,67.0,47.0
19481115,71.0,33.0,66.5,46.6
19481116,68.0,32.0,66.0,46.2
19481117,68.0,34.0,65.5,45.8
19481118,57.0,37.0,65.0,45.4
19481119,61.0,28.0,64.5,45.0
19481120,62.0,25.0,64.0,44.6
19481121,61.0,39.0,63.5,44.2
19481122,63.0,36.0,63.0,43.8
19481123,68.0,32.0,62.5,43.4
19481124,64.0,31.0,62.1,43.1
19481125,66.0,36.0,61.6,42.7
19481126,61.0,26.0,61.2,42.4
19481127,54.0,31.0,60.8,42.0
19481128,57.0,22.0,60.4,41.7
19481129,65.0,21.0,60.0,41.4
19481130,63.0,22.0,59.6,41.1
19481201,59.0,32.0,59.2,40.8
19481202,59.0,24.0,58.9,40.5
19481203,66.0,23.0,58.5,40.3
19481204,50.0,24.0,58.2,40.0
19481205,51.0,18.0,57.9,39.8
19481206,59.0,25.0,57.7,39.6
19481207,54.0,21.0,57.4,39.4
19481208,61.0,24.0,57.2,39.2
19481209,63.0,25.0,56.9,39.0
19481210,65.0,29.0,56.7,38.8
19481211,63.0,29.0,56.6,38.7
19481212,56.0,30.0,56.4,38.6
19481213,70.0,40.0,56.2,38.5
19481214,58.0,39.0,56.1,38.4
19481215,,,56.0,38.3
19481216,,,55.9,38.2
19481217,,,55.9,38.1
19481218,,,55.8,38.1
19481219,54.0,25.0,55.8,38.1
19481220,54.0,24.0,55.8,38.0
19481221,48.0,26.0,55.7,38.0
19481222,46.0,34.0,55.8,38.0
19481223,44.0,25.0,55.8,38.0
19481224,44.0,18.0,55.8,38.0
19481225,44.0,17.0,55.9,38.1
19481226,56.0,34.0,55.9,38.1
19481227,50.0,33.0,56.0,38.1
19481228,53.0,31.0,56.0,38.2
19481229,50.0,26.0,56.1,38.2
19481230,51.0,32.0,56.2,38.3
19481231,49.0,30.0,56.3,38.3
19490101,48.0,25.0,56.4,38.4
19490102,40.0,26.0,56.5,38.4
19490103,33.0,22.0,56.6,38.5
19490104,35.0,19.0,56.7,38.5
19490105,42.0,16.0,56.8,38.6
19490106,50.0,20.0,56.9,38.7
19490107,50.0,22.0,57.0,38.7
19490108,49.0,21.0,57.2,38.8
19490109,44.0,26.0,57.3,38.9
19490110,35.0,20.0,57.4,38.9
19490111,36.0,24.0,57.5,39.0
19490112,39.0,30.0,57.6,39.1
19490113,42.0,30.0,57.7,39.1
19490114,42.0,24.0,57.8,39.2
19490115,40.0,20.0,57.9,39.3
19490116,38.0,29.0,58.0,39.3
19490117,36.0,20.0,58.1,39.4
19490118,40.0,20.0,58.2,39.5
19490119,35.0,25.0,58.3,39.5
19490120,40.0,32.0,58.4,39.6
19490121,46.0,32.0,58.5,39.7
19490122,52.0,36.0,58.6,39.8
19490123,43.0,28.0,58.7,39.9
19490124,41.0,26.0,58.8,40.0
19490125,35.0,26.0,58.9,40.1
19490126,39.0,20.0,59.0,40.1
19490127,39.0,17.0,59.1,40.3
19490128,42.0,20.0,59.3,40.4
19490129,41.0,21.0,59.4,40.5
19490130,39.0,18.0,59.5,40.6
19490131,41.0,19.0,59.6,40.7
19490201,39.0,20.0,59.8,40.8
19490202,42.0,26.0,59.9,41.0
19490203,47.0,25.0,60.1,41.1
19490204,43.0,23.0,60.2,41.3
19490205,46.0,28.0,60.4,41.4
19490206,43.0,22.0,60.5,41.6
19490207,54.0,36.0,60.7,41.8
19490208,45.0,25.0,60.9,42.0
19490209,50.0,22.0,61.1,42.1
19490210,49.0,23.0,61.3,42.3
19490211,63.0,30.0,61.5,42.5
19490212,46.0,26.0,61.7,42.7
19490213,42.0,20.0,61.9,42.9
19490214,46.0,18.0,62.2,43.2
19490215,50.0,22.0,62.4,43.4
19490216,57.0,24.0,62.6,43.6
19490217,63.0,27.0,62.9,43.8
19490218,64.0,30.0,63.2,44.1
19490219,64.0,30.0,63.4,44.3
19490220,68.0,34.0,63.7,44.5
19490221,66.0,36.0,64.0,44.8
19490222,69.0,34.0,64.2,45.0
19490223,72.0,34.0,64.5,45.2
19490224,71.0,42.0,64.8,45.5
19490225,64.0,38.0,65.1,45.7
19490226,63.0,35.0,65.4,45.9
19490227,52.0,40.0,65.7,46.2
19490228,54.0,35.0,66.0,46.4
19490301,58.0,34.0,66.3,46.6
19490302,61.0,37.0,66.6,46.8
19490303,68.0,37.0,66.9,47.0
19490304,69.0,42.0,67.2,47.3
19490305,64.0,42.0,67.5,47.5
19490306,64.0,35.0,67.7,47.7
19490307,63.0,42.0,68.0,47.9
19490308,63.0,40.0,68.3,48.1
19490309,66.0,36.0,68.6,48.3
19490310,70.0,42.0,68.9,48.4
19490311,65.0,47.0,69.1,48.6
19490312,67.0,35.0,69.4,48.8
19490313,69.0,37.0,69.7,49.0
19490314,71.0,38.0,69.9,49.1
19490315,74.0,46.0,70.2,49.3
19490316,73.0,52.0,70.4,49.5
19490317,75.0,41.0,70.7,49.6
19490318,76.0,43.0,70.9,49.8
19490319,80.0,43.0,71.2,50.0
19490320,68.0,49.0,71.4,50.1
19490321,71.0,41.0,71.6,50.3
19490322,68.0,48.0,71.9,50.4
19490323,56.0,40.0,72.1,50.6
19490324,60.0,36.0,72.3,50.7
19490325,64.0,37.0,72.6,50.9
19490326,69.0,45.0,72.8,51.1
19490327,79.0,44.0,73.0,51.2
19490328,59.0,43.0,73.2,51.4
19490329,60.0,39.0,73.5,51.6
19490330,67.0,34.0,73.7,51.8
19490331,48.0,35.0,73.9,52.0
19490401,60.0,38.0,74.2,52.2
19490402,64.0,39.0,74.4,52.4
19490403,70.0,41.0,74.6,52.6
19490404,75.0,43.0,74.9,52.8
19490405,82.0,43.0,75.1,53.0
19490406,80.0,55.0,75.4,53.3
19490407,74.0,51.0,75.6,53.5
19490408,75.0,45.0,75.9,53.7
19490409,78.0,51.0,76.2,54.0
19490410,81.0,45.0,76.5,54.3
19490411,84.0,46.0,76.7,54.5
19490412,87.0,47.0,77.0,54.8
19490413,82.0,57.0,77.3,55.1
19490414,83.0,46.0,77.6,55.4
19490415,81.0,52.0,77.9,55.7
19490416,87.0,55.0,78.2,56.0
19490417,77.0,52.0,78.6,56.3
19490418,82.0,49.0,78.9,56.7
19490419,81.0,51.0,79.2,57.0
19490420,85.0,48.0,79.6,57.3
19490421,88.0,61.0,79.9,57.7
19490422,96.0,57.0,80.3,58.0
19490423,98.0,56.0,80.6,58.4
19490424,97.0,71.0,81.0,58.7
19490425,88.0,63.0,81.3,59.1
19490426,91.0,55.0,81.7,59.4
19490427,92.0,60.0,82.1,59.8
19490428,92.0,56.0,82.4,60.1
19490429,84.0,61.0,82.8,60.5
19490430,82.0,56.0,83.2,60.8
19490501,90.0,50.0,83.5,61.2
19490502,90.0,61.0,83.9,61.5
19490503,83.0,62.0,84.3,61.8
19490504,82.0,52.0,84.7,62.2
19490505,77.0,52.0,85.0,62.5
19490506,80.0,57.0,85.4,62.8
19490507,85.0,50.0,85.8,63.2
19490508,91.0,59.0,86.1,63.5
19490509,78.0,55.0,86.5,63.8
19490510,80.0,50.0,86.9,64.1
19490511,81.0,58.0,87.2,64.4
19490512,89.0,55.0,87.6,64.7
19490513,93.0,60.0,88.0,65.1
19490514,79.0,59.0,88.3,65.3
19490515,75.0,55.0,88.7,65.6
19490516,75.0,56.0,89.0,65.9
19490517,74.0,58.0,89.3,66.2
19490518,72.0,55.0,89.7,66.5
19490519,74.0,51.0,90.0,66.8
19490520,78.0,46.0,90.4,67.1
19490521,84.0,52.0,90.7,67.3
19490522,89.0,56.0,91.0,67.6
19490523,97.0,59.0,91.4,67.9
19490524,100.0,61.0,91.7,68.1
19490525,101.0,60.0,92.0,68.4
19490526,99.0,69.0,92.3,68.7
19490527,100.0,64.0,92.7,68.9
19490528,87.0,67.0,93.0,69.2
19490529,82.0,60.0,93.3,69.5
19490530,81.0,60.0,93.6,69.8
19490531,84.0,56.0,93.9,70.0
19490601,86.0,56.0,94.3,70.3
19490602,88.0,54.0,94.6,70.6
19490603,69.0,58.0,94.9,70.9
19490604,83.0,60.0,95.2,71.2
19490605,80.0,60.0,95.5,71.4
19490606,86.0,58.0,95.8,71.7
19490607,94.0,61.0,96.2,72.0
19490608,100.0,71.0,96.5,72.3
19490609,101.0,67.0,96.8,72.6
19490610,104.0,71.0,97.1,72.9
19490611,106.0,74.0,97.4,73.2
19490612,103.0,77.0,97.7,73.5
19490613,107.0,72.0,98.0,73.8
19490614,104.0,74.0,98.4,74.1
19490615,109.0,74.0,98.7,74.5
19490616,107.0,83.0,99.0,74.8
19490617,103.0,76.0,99.3,75.1
19490618,95.0,74.0,99.6,75.4
19490619,94.0,68.0,99.9,75.7
19490620,97.0,68.0,100.2,76.0
19490621,102.0,67.0,100.4,76.3
19490622,104.0,75.0,100.7,76.6
19490623,102.0,81.0,101.0,76.9
19490624,101.0,71.0,101.3,77.2
19490625,106.0,68.0,101.5,77.5
19490626,101.0,77.0,101.8,77.8
19490627,98.0,72.0,102.0,78.0
19490628,98.0,69.0,102.3,78.3
19490629,98.0,69.0,102.5,78.6
19490630,101.0,66.0,102.7,78.8
19490701,103.0,71.0,102.9,79.1
19490702,100.0,74.0,103.1,79.3
19490703,98.0,79.0,103.3,79.5
19490704,89.0,66.0,103.5,79.7
19490705,103.0,68.0,103.6,79.9
19490706,102.0,73.0,103.8,80.1
19490707,102.0,67.0,103.9,80.3
19490708,103.0,67.0,104.0,80.5
19490709,107.0,74.0,104.2,80.6
19490710,106.0,76.0,104.3,80.8
19490711,105.0,81.0,104.3,80.9
19490712,103.0,74.0,104.4,81.0
19490713,106.0,75.0,104.5,81.1
19490714,110.0,77.0,104.5,81.2
19490715,114.0,77.0,104.6,81.3
19490716,113.0,83.0,104.6,81.3
19490717,112.0,82.0,104.6,81.4
19490718,108.0,87.0,104.7,81.4
19490719,106.0,83.0,104.7,81.5
19490720,104.0,81.0,104.6,81.5
19490721,102.0,78.0,104.6,81.5
19490722,103.0,74.0,104.6,81.5
19490723,102.0,75.0,104.6,81.5
19490724,98.0,74.0,104.5,81.5
19490725,101.0,72.0,104.5,81.5
19490726,103.0,68.0,104.4,81.4
19490727,103.0,69.0,104.3,81.4
19490728,104.0,73.0,104.3,81.4
19490729,105.0,70.0,104.2,81.3
19490730,105.0,72.0,104.1,81.3
19490731,104.0,77.0,104.0,81.2
19490801,106.0,72.0,103.9,81.1
19490802,110.0,77.0,103.8,81.0
19490803,108.0,78.0,103.7,81.0
19490804,109.0,78.0,103.6,80.9
19490805,109.0,75.0,103.5,80.8
19490806,107.0,81.0,103.4,80.7
19490807,99.0,79.0,103.3,80.6
19490808,99.0,71.0,103.2,80.5
19490809,96.0,70.0,103.1,80.4
19490810,95.0,62.0,103.0,80.3
19490811,95.0,62.0,102.8,80.2
19490812,96.0,60.0,102.7,80.0
19490813,99.0,60.0,102.6,79.9
19490814,97.0,64.0,102.4,79.8
19490815,97.0,61.0,102.3,79.7
19490816,97.0,61.0,102.2,79.5
19490817,98.0,59.0,102.0,79.4
19490818,102.0,62.0,101.9,79.2
19490819,104.0,65.0,101.7,79.1
19490820,106.0,63.0,101.6,78.9
19490821,107.0,66.0,101.4,78.8
19490822,97.0,69.0,101.3,78.6
19490823,89.0,68.0,101.1,78.4
19490824,100.0,67.0,100.9,78.2
19490825,101.0,73.0,100.7,78.0
19490826,101.0,70.0,100.5,77.8
19490827,102.0,66.0,100.3,77.6
19490828,106.0,72.0,100.1,77.4
19490829,107.0,71.0,99.9,77.1
19490830,108.0,71.0,99.6,76.9
19490831,106.0,66.0,99.4,76.6
19490901,107.0,66.0,99.1,76.3
19490902,106.0,79.0,98.9,76.1
19490903,105.0,68.0,98.6,75.8
19490904,104.0,77.0,98.3,75.5
19490905,101.0,74.0,98.0,75.2
19490906,102.0,75.0,97.7,74.9
19490907,103.0,68.0,97.4,74.5
19490908,98.0,71.0,97.1,74.2
19490909,98.0,72.0,96.7,73.8
19490910,94.0,74.0,96.4,73.5
19490911,93.0,70.0,96.0,73.1
19490912,96.0,60.0,95.7,72.7
19490913,93.0,65.0,95.3,72.3
19490914,94.0,56.0,94.9,71.9
19490915,97.0,58.0,94.5,71.5
19490916,100.0,64.0,94.1,71.1
19490917,97.0,63.0,93.7,70.7
19490918,98.0,63.0,93.3,70.3
19490919,101.0,61.0,92.8,69.9
19490920,102.0,67.0,92.4,69.4
19490921,103.0,68.0,92.0,69.0
19490922,104.0,67.0,91.5,68.6
19490923,102.0,62.0,91.1,68.1
19490924,101.0,69.0,90.6,67.7
19490925,99.0,68.0,90.1,67.2
19490926,88.0,64.0,89.7,66.8
19490927,95.0,60.0,89.2,66.3
19490928,91.0,59.0,88.8,65.9
19490929,90.0,54.0,88.3,65.5
19490930,89.0,58.0,87.8,65.0
19491001,92.0,56.0,87.4,64.6
19491002,95.0,61.0,86.9,64.1
19491003,94.0,60.0,86.4,63.7
19491004,95.0,61.0,86.0,63.3
19491005,92.0,64.0,85.5,62.9
19491006,86.0,60.0,85.1,62.4
19491007,73.0,57.0,84.6,62.0
19491008,59.0,43.0,84.1,61.6
19491009,68.0,41.0,83.7,61.2
19491010,74.0,43.0,83.2,60.8
19491011,79.0,46.0,82.8,60.4
19491012,88.0,52.0,82.3,60.0
19491013,87.0,55.0,81.9,59.6
19491014,86.0,58.0,81.5,59.2
19491015,83.0,55.0,81.0,58.8
19491016,83.0,60.0,80.6,58.4
19491017,83.0,54.0,80.1,58.0
19491018,65.0,41.0,79.7,57.6
19491019,57.0,39.0,79.3,57.3
19491020,58.0,38.0,78.8,56.9
19491021,63.0,32.0,78.4,56.5
19491022,67.0,39.0,77.9,56.1
19491023,74.0,37.0,77.5,55.8
19491024,74.0,41.0,77.1,55.4
19491025,75.0,42.0,76.6,55.0
19491026,78.0,41.0,76.2,54.6
19491027,79.0,44.0,75.7,54.2
19491028,80.0,46.0,75.3,53.9
19491029,81.0,46.0,74.8,53.5
19491030,76.0,50.0,74.3,53.1
19491031,75.0,44.0,73.9,52.7
19491101,82.0,44.0,73.4,52.3
19491102,82.0,44.0,72.9,51.9
19491103,81.0,47.0,72.5,51.5
19491104,83.0,45.0,72.0,51.1
19491105,82.0,44.0,71.5,50.7
19491106,80.0,44.0,71.0,50.3
19491107,80.0,44.0,70.5,49.9
19491108,70.0,48.0,70.0,49.5
19491109,65.0,54.0,69.5,49.1
19491110,62.0,40.0,69.0,48.7
19491111,62.0,36.0,68.5,48.3
19491112,69.0,34.0,68.0,47.8
19491113,75.0,39.0,67.5,47.4
19491114,76.0,40.0,67.0,47.0
19491115,78.0,39.0,66.5,46.6
19491116,78.0,43.0,66.0,46.2
19491117,78.0,43.0,65.5,45.8
19491118,79.0,43.0,65.0,45.4
19491119,75.0,41.0,64.5,45.0
19491120,76.0,41.0,64.0,44.6
19491121,77.0,42.0,63.5,44.2
19491122,76.0,42.0,63.0,43.8
19491123,74.0,38.0,62.5,43.4
19491124,81.0,44.0,62.1,43.1
19491125,76.0,45.0,61.6,42.7
19491126,75.0,44.0,61.2,42.4
19491127,72.0,41.0,60.8,42.0
19491128,72.0,39.0,60.4,41.7
19491129,73.0,42.0,60.0,41.4
19491130,75.0,40.0,59.6,41.1
19491201,72.0,44.0,59.2,40.8
19491202,71.0,36.0,58.9,40.5
19491203,72.0,36.0,58.5,40.3
19491204,69.0,35.0,58.2,40.0
19491205,72.0,34.0,57.9,39.8
19491206,65.0,38.0,57.7,39.6
19491207,59.0,37.0,57.4,39.4
19491208,60.0,46.0,57.2,39.2
19491209,64.0,46.0,56.9,39.0
19491210,54.0,28.0,56.7,38.8
19491211,41.0,22.0,56.6,38.7
19491212,43.0,15.0,56.4,38.6
19491213,51.0,19.0,56.2,38.5
19491214,51.0,23.0,56.1,38.4
19491215,47.0,31.0,56.0,38.3
19491216,47.0,28.0,55.9,38.2
19491217,57.0,24.0,55.9,38.1
19491218,54.0,44.0,55.8,38.1
19491219,56.0,36.0,55.8,38.1
19491220,42.0,30.0,55.8,38.0
19491221,48.0,24.0,55.7,38.0
19491222,51.0,22.0,55.8,38.0
19491223,50.0,25.0,55.8,38.0
19491224,59.0,27.0,55.8,38.0
19491225,47.0,25.0,55.9,38.1
19491226,51.0,21.0,55.9,38.1
19491227,56.0,23.0,56.0,38.1
19491228,60.0,26.0,56.0,38.2
19491229,58.0,30.0,56.1,38.2
19491230,60.0,29.0,56.2,38.3
19491231,61.0,31.0,56.3,38.3
19500101,65.0,38.0,56.4,38.4
19500102,55.0,36.0,56.5,38.4
19500103,37.0,19.0,56.6,38.5
19500104,36.0,14.0,56.7,38.5
19500105,43.0,12.0,56.8,38.6
19500106,45.0,12.0,56.9,38.7
19500107,49.0,16.0,57.0,38.7
19500108,59.0,28.0,57.2,38.8
19500109,51.0,28.0,57.3,38.9
19500110,48.0,22.0,57.4,38.9
19500111,54.0,30.0,57.5,39.0
19500112,51.0,29.0,57.6,39.1
19500113,52.0,23.0,57.7,39.1
19500114,54.0,38.0,57.8,39.2
19500115,49.0,24.0,57.9,39.3
19500116,57.0,24.0,58.0,39.3
19500117,58.0,31.0,58.1,39.4
19500118,62.0,37.0,58.2,39.5
19500119,63.0,35.0,58.3,39.5
19500120,67.0,37.0,58.4,39.6
19500121,68.0,37.0,58.5,39.7
19500122,67.0,41.0,58.6,39.8
19500123,72.0,36.0,58.7,39.9
19500124,59.0,38.0,58.8,40.0
19500125,49.0,25.0,58.9,40.1
19500126,50.0,18.0,59.0,40.1
19500127,51.0,16.0,59.1,40.3
19500128,58.0,30.0,59.3,40.4
19500129,58.0,29.0,59.4,40.5
19500130,56.0,29.0,59.5,40.6
19500131,54.0,26.0,59.6,40.7
19500201,54.0,19.0,59.8,40.8
19500202,50.0,22.0,59.9,41.0
19500203,61.0,26.0,60.1,41.1
19500204,57.0,36.0,60.2,41.3
19500205,68.0,41.0,60.4,41.4
19500206,71.0,55.0,60.5,41.6
19500207,66.0,41.0,60.7,41.8
19500208,60.0,30.0,60.9,42.0
19500209,62.0,28.0,61.1,42.1
19500210,58.0,38.0,61.3,42.3
19500211,59.0,44.0,61.5,42.5
19500212,58.0,36.0,61.7,42.7
19500213,60.0,30.0,61.9,42.9
19500214,67.0,33.0,62.2,43.2
19500215,68.0,36.0,62.4,43.4
19500216,69.0,36.0,62.6,43.6
19500217,75.0,37.0,62.9,43.8
19500218,74.0,40.0,63.2,44.1
19500219,73.0,40.0,63.4,44.3
19500220,75.0,45.0,63.7,44.5
19500221,67.0,44.0,64.0,44.8
19500222,64.0,35.0,64.2,45.0
19500223,69.0,34.0,64.5,45.2
19500224,75.0,37.0,64.8,45.5
19500225,78.0,39.0,65.1,45.7
19500226,75.0,42.0,65.4,45.9
19500227,73.0,49.0,65.7,46.2
19500228,70.0,42.0,66.0,46.4
19500301,62.0,48.0,66.3,46.6
19500302,69.0,45.0,66.6,46.8
19500303,75.0,42.0,66.9,47.0
19500304,78.0,44.0,67.2,47.3
19500305,79.0,43.0,67.5,47.5
19500306,64.0,45.0,67.7,47.7
19500307,61.0,38.0,68.0,47.9
19500308,73.0,36.0,68.3,48.1
19500309,73.0,46.0,68.6,48.3
19500310,70.0,44.0,68.9,48.4
19500311,67.0,39.0,69.1,48.6
19500312,55.0,33.0,69.4,48.8
19500313,58.0,25.0,69.7,49.0
19500314,68.0,29.0,69.9,49.1
19500315,68.0,35.0,70.2,49.3
19500316,73.0,35.0,70.4,49.5
19500317,77.0,40.0,70.7,49.6
19500318,72.0,47.0,70.9,49.8
19500319,80.0,45.0,71.2,50.0
19500320,71.0,48.0,71.4,50.1
19500321,76.0,38.0,71.6,50.3
19500322,81.0,51.0,71.9,50.4
19500323,77.0,42.0,72.1,50.6
19500324,75.0,49.0,72.3,50.7
19500325,61.0,46.0,72.6,50.9
19500326,65.0,45.0,72.8,51.1
19500327,74.0,37.0,73.0,51.2
19500328,75.0,39.0,73.2,51.4
19500329,74.0,42.0,73.5,51.6
19500330,82.0,52.0,73.7,51.8
19500331,86.0,46.0,73.9,52.0
19500401,89.0,54.0,74.2,52.2
19500402,89.0,54.0,74.4,52.4
19500403,87.0,58.0,74.6,52.6
19500404,77.0,50.0,74.9,52.8
19500405,86.0,49.0,75.1,53.0
19500406,80.0,63.0,75.4,53.3
19500407,81.0,56.0,75.6,53.5
19500408,70.0,48.0,75.9,53.7
19500409,64.0,44.0,76.2,54.0
19500410,70.0,38.0,76.5,54.3
19500411,78.0,41.0,76.7,54.5
19500412,83.0,45.0,77.0,54.8
19500413,83.0,55.0,77.3,55.1
19500414,69.0,48.0,77.6,55.4
19500415,76.0,50.0,77.9,55.7
19500416,85.0,46.0,78.2,56.0
19500417,90.0,51.0,78.6,56.3
19500418,88.0,57.0,78.9,56.7
19500419,87.0,50.0,79.2,57.0
19500420,94.0,51.0,79.6,57.3
19500421,98.0,54.0,79.9,57.7
19500422,92.0,70.0,80.3,58.0
19500423,88.0,54.0,80.6,58.4
19500424,76.0,56.0,81.0,58.7
19500425,85.0,42.0,81.3,59.1
19500426,91.0,53.0,81.7,59.4
19500427,88.0,63.0,82.1,59.8
19500428,77.0,56.0,82.4,60.1
19500429,75.0,42.0,82.8,60.5
19500430,84.0,44.0,83.2,60.8
19500501,80.0,60.0,83.5,61.2
19500502,76.0,54.0,83.9,61.5
19500503,67.0,46.0,84.3,61.8
19500504,70.0,43.0,84.7,62.2
19500505,76.0,40.0,85.0,62.5
19500506,78.0,48.0,85.4,62.8
19500507,69.0,51.0,85.8,63.2
19500508,74.0,49.0,86.1,63.5
19500509,75.0,52.0,86.5,63.8
19500510,79.0,49.0,86.9,64.1
19500511,85.0,51.0,87.2,64.4
19500512,88.0,59.0,87.6,64.7
19500513,90.0,55.0,88.0,65.1
19500514,92.0,63.0,88.3,65.3
19500515,95.0,60.0,88.7,65.6
19500516,95.0,63.0,89.0,65.9
19500517,87.0,59.0,89.3,66.2
19500518,92.0,60.0,89.7,66.5
19500519,90.0,64.0,90.0,66.8
19500520,94.0,61.0,90.4,67.1
19500521,97.0,60.0,90.7,67.3
19500522,98.0,66.0,91.0,67.6
19500523,92.0,61.0,91.4,67.9
19500524,93.0,60.0,91.7,68.1
19500525,91.0,62.0,92.0,68.4
19500526,89.0,60.0,92.3,68.7
19500527,99.0,58.0,92.7,68.9
19500528,99.0,71.0,93.0,69.2
19500529,97.0,68.0,93.3,69.5
19500530,102.0,63.0,93.6,69.8
19500531,103.0,68.0,93.9,70.0
19500601,102.0,68.0,94.3,70.3
19500602,104.0,75.0,94.6,70.6
19500603,90.0,67.0,94.9,70.9
19500604,95.0,62.0,95.2,71.2
19500605,102.0,60.0,95.5,71.4
19500606,94.0,59.0,95.8,71.7
19500607,77.0,52.0,96.2,72.0
19500608,83.0,54.0,96.5,72.3
19500609,91.0,50.0,96.8,72.6
19500610,96.0,63.0,97.1,72.9
19500611,90.0,69.0,97.4,73.2
19500612,91.0,63.0,97.7,73.5
19500613,93.0,61.0,98.0,73.8
19500614,94.0,63.0,98.4,74.1
19500615,95.0,63.0,98.7,74.5
19500616,95.0,63.0,99.0,74.8
19500617,96.0,66.0,99.3,75.1
19500618,98.0,62.0,99.6,75.4
19500619,103.0,65.0,99.9,75.7
19500620,105.0,68.0,100.2,76.0
19500621,103.0,75.0,100.4,76.3
19500622,99.0,71.0,100.7,76.6
19500623,98.0,71.0,101.0,76.9
19500624,91.0,68.0,101.3,77.2
19500625,98.0,59.0,101.5,77.5
19500626,103.0,67.0,101.8,77.8
19500627,107.0,65.0,102.0,78.0
19500628,108.0,67.0,102.3,78.3
19500629,112.0,71.0,102.5,78.6
19500630,114.0,79.0,102.7,78.8
19500701,115.0,81.0,102.9,79.1
19500702,115.0,77.0,103.1,79.3
19500703,111.0,76.0,103.3,79.5
19500704,108.0,78.0,103.5,79.7
19500705,97.0,68.0,103.6,79.9
19500706,84.0,66.0,103.8,80.1
19500707,92.0,69.0,103.9,80.3
19500708,93.0,71.0,104.0,80.5
19500709,95.0,75.0,104.2,80.6
19500710,98.0,76.0,104.3,80.8
19500711,102.0,75.0,104.3,80.9
19500712,106.0,76.0,104.4,81.0
19500713,111.0,77.0,104.5,81.1
19500714,111.0,82.0,104.5,81.2
19500715,110.0,84.0,104.6,81.3
19500716,108.0,82.0,104.6,81.3
19500717,104.0,81.0,104.6,81.4
19500718,103.0,79.0,104.7,81.4
19500719,102.0,78.0,104.7,81.5
19500720,105.0,75.0,104.6,81.5
19500721,107.0,76.0,104.6,81.5
19500722,105.0,74.0,104.6,81.5
19500723,102.0,70.0,104.6,81.5
19500724,100.0,73.0,104.5,81.5
19500725,101.0,70.0,104.5,81.5
19500726,91.0,68.0,104.4,81.4
19500727,103.0,73.0,104.3,81.4
19500728,100.0,79.0,104.3,81.4
19500729,99.0,76.0,104.2,81.3
19500730,100.0,69.0,104.1,81.3
19500731,94.0,73.0,104.0,81.2
19500801,97.0,73.0,103.9,81.1
19500802,102.0,72.0,103.8,81.0
19500803,104.0,69.0,103.7,81.0
19500804,98.0,75.0,103.6,80.9
19500805,97.0,73.0,103.5,80.8
19500806,99.0,64.0,103.4,80.7
